year,venue,fsa_plus_minus,winner,winning_score_vs_par,course_par,yards,tier,notes
2013,Merion (East),4.55,Justin Rose,1,70,6996,T2,Hardest modern Open by FSA+/-
2018,Shinnecock Hills,4.39,Brooks Koepka,1,70,7445,T3,Partial setup inflation (see Note 1)
2020,Winged Foot (West),4.07,Bryson DeChambeau,-6,70,7477,T1,DeChambeau outlier strategy
2010,Pebble Beach,3.98,Graeme McDowell,-1,71,6816,T3,Wind-driven; high variance venue
2025,Oakmont CC,3.82,J.J. Spaun,-1,70,7255,T1,Sole sub-par player for 72 holes
2012,Olympic Club (Lake),3.47,Webb Simpson,1,70,7170,T2,Classic Olympic grind
2015,Chambers Bay,3.45,Jordan Spieth,-5,70,7618,T3,Links-style setup; controversial greens
2016,Oakmont CC,3.33,Dustin Johnson,-4,70,7255,T1,Johnson controversially penalized
2014,Pinehurst No. 2,3.09,Martin Kaymer,-9,70,7562,T3,Same week as Women's Open
2024,Pinehurst No. 2,2.78,Bryson DeChambeau,-6,70,7500,T3,Natural Pinehurst conditions
2022,The Country Club,2.6,Matt Fitzpatrick,-6,70,7264,T3,Classic Brookline setup
2021,Torrey Pines (South),2.27,Jon Rahm,-6,71,7652,T3,Long but manageable
2023,LACC (North),1.76,Wyndham Clark,-10,70,7573,T4,62s shot in Round 1
2011,Congressional (Blue),1.64,Rory McIlroy,-16,71,7574,T4,McIlroy dominant; benign setup
2019,Pebble Beach,1.22,Gary Woodland,-13,71,6816,T4,Calm conditions; Pebble benign
2017,Erin Hills,1.14,Brooks Koepka,-16,72,7741,T4,Widest fairways in Open history
